goal x,goal y,true x,true y,error
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.004768388586935088,-6.006593450837222e-06,0.4952316114494915
0.5,0.0,0.012942450065648276,-7.894809587970879e-05,0.4870575563327761
0.5,0.0,0.022478457878151163,-0.00020067804555264163,0.4775215842892409
0.5,0.0,0.032014941978547554,-0.00027640243767201124,0.46798513964617483
0.5,0.0,0.04155161360799916,-0.0002299544797736275,0.45844844406377044
0.5,0.0,0.049725997752507016,-0.00022321811826505448,0.45027405757638717
0.5,0.0,0.05926249618424162,-0.00014932060658091992,0.44073752911045505
0.5,0.0,0.07016166813160604,-0.0001645305623274984,0.42983836335733167
0.5,0.0,0.08514459996904428,-0.0004858089095545484,0.4148556844797247
0.5,0.0,0.10012163919882555,-0.0010147343593121365,0.3998796482979025
0.5,0.0,0.11508548677721485,-0.0018361550022353988,0.384918892696534
0.5,0.0,0.13276184682830813,-0.002946063523889813,0.3672499699594839
0.5,0.0,0.1490759044669992,-0.004010924755915176,0.35094701643275483
0.5,0.0,0.1680905567373872,-0.005508940696716121,0.3319551580477362
0.5,0.0,0.18710251021405538,-0.007040827678254744,0.3129766962071461
0.5,0.0,0.20612364707862646,-0.00845412350812775,0.29399793028295007
0.5,0.0,0.22512612157488604,-0.010099424617856552,0.2750593525370045
0.5,0.0,0.2454899531519649,-0.011814977882394037,0.25478413931983773
0.5,0.0,0.2671985468474572,-0.01379125764199397,0.23320959537995736
0.5,0.0,0.28755441080301564,-0.015598897574555855,0.21301749687477628
0.5,0.0,0.3078930763123003,-0.017590742148075857,0.19291061230028733
0.5,0.0,0.32824735868933475,-0.019416104692776565,0.17284662252595767
0.5,0.0,0.34994823407702114,-0.021475407810832882,0.15158075602544677
0.5,0.0,0.3716470362382601,-0.02355644281559191,0.13049670227460447
0.5,0.0,0.3919824847728793,-0.025580866782762814,0.1110052446562716
0.5,0.0,0.41368692190361084,-0.027602284790554255,0.09061916781858151
0.5,0.0,0.4367426682332888,-0.02980535110051252,0.0699274550978984
